timestamp,speed_input,speed_output,filesize_input,filesize_output
245,243.1 rd,243.0 wr,"in(64.8, 64.8)",out(129.5)
246,278.4 rd,274.1 wr,"in(64.7, 194.3)",out(255.0)
248,254.1 rd,251.9 wr,"in(64.8, 198.4)",out(260.9)
250,275.7 rd,271.6 wr,"in(64.8, 254.9)",out(315.0)
252,264.7 rd,260.6 wr,"in(64.8, 250.2)",out(310.0)
254,213.3 rd,210.2 wr,"in(64.8, 257.4)",out(317.3)
256,214.4 rd,212.8 wr,"in(0.0, 430.5)",out(427.3)
257,114.1 rd,112.4 wr,"in(64.8, 259.1)",out(319.0)
258,114.8 rd,114.0 wr,"in(64.8, 260.9)",out(323.6)
259,114.1 rd,113.2 wr,"in(64.6, 259.0)",out(321.2)
262,287.0 rd,285.4 wr,"in(534.9, 194.3)",out(725.1)
265,298.3 rd,294.8 wr,"in(64.8, 127.7)",out(190.3)
267,303.2 rd,300.8 wr,"in(64.8, 129.5)",out(192.8)
269,264.6 rd,260.9 wr,"in(64.8, 316.7)",out(376.2)
271,283.5 rd,279.9 wr,"in(64.8, 319.8)",out(379.7)
273,296.6 rd,294.4 wr,"in(64.8, 321.2)",out(383.2)
275,270.7 rd,268.6 wr,"in(376.6, 401.3)",out(771.8)
295,297.9 rd,294.6 wr,"in(64.8, 129.5)",out(192.1)
296,268.7 rd,265.3 wr,"in(56.5, 129.5)",out(183.6)
298,285.8 rd,283.2 wr,"in(64.7, 194.0)",out(256.3)
300,289.0 rd,287.1 wr,"in(26.7, 95.7)",out(121.6)
301,271.9 rd,268.1 wr,"in(64.8, 254.2)",out(314.5)
303,281.8 rd,279.8 wr,"in(64.8, 257.5)",out(320.0)
305,272.4 rd,270.3 wr,"in(376.6, 323.8)",out(695.1)
316,256.4 rd,253.1 wr,"in(64.8, 129.5)",out(191.8)
318,286.7 rd,283.2 wr,"in(64.8, 188.9)",out(250.6)
320,286.0 rd,284.5 wr,"in(64.7, 194.3)",out(257.7)
321,285.1 rd,282.3 wr,"in(64.8, 250.5)",out(312.2)
323,269.0 rd,265.9 wr,"in(64.7, 252.3)",out(313.4)
325,252.7 rd,250.9 wr,"in(322.8, 371.2)",out(689.2)
334,308.5 rd,305.3 wr,"in(64.7, 64.7)",out(128.2)
335,291.6 rd,289.2 wr,"in(64.7, 161.2)",out(224.1)
337,304.5 rd,299.4 wr,"in(64.8, 181.9)",out(242.5)
339,296.6 rd,293.4 wr,"in(64.7, 194.3)",out(256.2)
340,260.4 rd,257.7 wr,"in(33.1, 121.6)",out(153.2)
342,282.5 rd,279.7 wr,"in(64.7, 255.2)",out(316.8)
344,303.5 rd,293.7 wr,"in(64.8, 64.8)",out(125.4)
350,276.3 rd,274.1 wr,"in(376.7, 332.3)",out(703.4)
