,job_id,flush_size,flush_speed,start_time,end_time
86,181.0,57999832.0,225.24556497965017,105963136.0,106220632.0
87,189.0,57998652.0,214.7048554040247,107187708.0,107457840.0
88,191.0,57997590.0,143.37704042658913,108419441.0,108823952.0
89,193.0,57997472.0,202.965070988378,109642947.0,109928698.0
90,196.0,57995230.0,163.7270445684732,110850499.0,111204718.0
91,198.0,57994522.0,249.3669437194443,112086647.0,112319214.0
92,200.0,57999714.0,234.22682152635872,113310209.0,113557831.0
93,202.0,57994168.0,151.68456898941764,114528928.0,114911262.0
94,209.0,58002782.0,150.69454382013132,115747845.0,116132748.0
95,210.0,57998888.0,150.60304172043905,116969762.0,117354873.0
96,214.0,57997472.0,159.83517519249955,118304895.0,118667753.0
97,216.0,57996646.0,167.59178637168807,119520116.0,119866175.0
98,218.0,57999242.0,160.68542093204303,120733923.0,121094872.0
99,220.0,58004906.0,156.37443116871913,121980715.0,122351651.0
100,222.0,57997236.0,219.00294535238498,123201584.0,123466408.0
101,229.0,58002310.0,202.90389385050776,124417073.0,124702934.0
102,230.0,57998298.0,194.04368118356737,125624754.0,125923647.0
103,234.0,57995938.0,177.6047344163898,126836382.0,127162927.0
104,236.0,58001248.0,160.43140736806876,128052545.0,128414078.0
105,238.0,57999478.0,168.64627579148154,129254883.0,129598795.0
106,240.0,58007384.0,259.3644769552698,130631341.0,130854993.0
107,242.0,57994994.0,188.37433210662908,131849107.0,132156978.0
108,247.0,57996174.0,104.47483341469697,133417448.0,133972569.0
109,248.0,58001956.0,188.20560444409833,134743231.0,135051415.0
110,250.0,58008092.0,240.6725111502956,135969964.0,136210989.0
111,251.0,57995584.0,183.8847145289498,137203072.0,137518463.0
112,253.0,57992988.0,196.25575894171516,138433069.0,138728566.0
113,255.0,57995820.0,212.5930894934788,139657169.0,139929971.0
114,258.0,57995112.0,209.58351522860983,140882108.0,141158824.0
115,260.0,57995938.0,185.28816884129276,142101065.0,142414069.0
116,262.0,57998416.0,172.28361033135795,143305951.0,143642596.0
117,264.0,57995348.0,172.22896410816847,144653181.0,144989915.0
118,278.0,57999360.0,195.14474516506735,145990133.0,146287345.0
119,279.0,58002192.0,241.82996660370986,147217690.0,147457537.0
120,283.0,58006086.0,180.3711088238861,148440995.0,148762588.0
121,285.0,57998180.0,251.25166242846683,149647592.0,149878429.0
122,288.0,58001366.0,174.7729240930855,150865105.0,151196972.0
123,290.0,57998534.0,174.45424220275103,152076861.0,152409318.0
124,292.0,58008446.0,177.85381931456533,153291992.0,153618150.0
125,300.0,57994522.0,175.06987457171752,154517467.0,154848732.0
126,302.0,57999242.0,186.48314556164314,155766731.0,156077747.0
127,304.0,57999714.0,177.33119515700002,156972383.0,157299453.0
128,306.0,58007030.0,174.80684677625928,158177692.0,158509527.0
129,309.0,58004316.0,170.22393346500252,159390186.0,159730939.0
130,311.0,58000776.0,176.8224695671261,160636248.0,160964265.0
131,312.0,58004788.0,206.7464642144283,161896639.0,162177199.0
132,319.0,58005732.0,213.022199861182,163099267.0,163371566.0
133,321.0,58007030.0,219.3712749220948,164300186.0,164564610.0
134,323.0,57998770.0,196.08487950666702,165514192.0,165809976.0
135,325.0,57996292.0,159.10536466263392,166718546.0,167083061.0
136,327.0,58005142.0,201.00403705076982,167938825.0,168227402.0
137,329.0,57999950.0,258.40576869099544,169150324.0,169374777.0
138,334.0,57999006.0,230.24158313649988,170390097.0,170642002.0
139,336.0,58004080.0,251.2423928721483,171597947.0,171828816.0
140,338.0,57994994.0,257.9022466114056,172806670.0,173031542.0
141,341.0,58003962.0,185.67744269201097,174016672.0,174329063.0
142,343.0,57999950.0,177.33842315430292,175234962.0,175562020.0
143,345.0,58002546.0,217.6692623212282,176451340.0,176717811.0
144,347.0,58001248.0,176.93232789125608,177664771.0,177992587.0
145,353.0,57994522.0,176.68059528705692,179113943.0,179442188.0
146,354.0,57990746.0,247.4461868004796,180336399.0,180570756.0
147,356.0,57995112.0,262.123615260496,181561913.0,181783164.0
148,359.0,57997826.0,236.4372704332264,182792255.0,183037554.0
149,361.0,58004198.0,211.2062206653971,183997374.0,184272007.0
150,363.0,57991572.0,186.53405384541156,185194099.0,185504989.0
151,365.0,57995112.0,160.62369343769214,186403442.0,186764504.0
152,369.0,57992398.0,264.07594544750805,187636962.0,187856567.0
