,job_id,flush_size,flush_speed,start_time,end_time
86,245.0,116001080.0,73.88490876572587,290510529.0,292080553.0
87,249.0,115995770.0,69.74692967028342,293168408.0,294831503.0
88,251.0,116000726.0,63.97509288739296,295813126.0,297626343.0
89,259.0,115997068.0,62.76231958082368,298721979.0,300570175.0
90,260.0,116004974.0,67.97941835553118,301448058.0,303154530.0
91,269.0,116000254.0,9.926401371620292,304309221.0,315995254.0
92,270.0,115994944.0,11.827843937848497,316271696.0,326078635.0
93,276.0,116011228.0,68.37132171369097,326082364.0,327779146.0
94,286.0,116000372.0,61.94827335762837,328875515.0,330748051.0
95,287.0,115996596.0,62.988362015599854,331690708.0,333532264.0
96,292.0,116014060.0,18.86022915002372,334624578.0,340775832.0
97,296.0,115997894.0,18.620368420309156,340791336.0,347020960.0
98,297.0,115993528.0,38.458793248248455,347172178.0,350188225.0
99,299.0,116008396.0,61.24303595656283,350203084.0,352097314.0
100,302.0,115998720.0,65.47995359903811,352818288.0,354589803.0
101,306.0,116007570.0,30.7928508974734,355602903.0,359370257.0
102,309.0,116001788.0,51.75652144427024,359384117.0,361625415.0
103,313.0,115992230.0,49.97844750511128,361981227.0,364302072.0
104,316.0,116008160.0,110.59434559446,364862732.0,365911684.0
105,324.0,116001434.0,69.76686367542932,367478189.0,369140890.0
106,326.0,115991168.0,64.48016027875339,370151416.0,371950282.0
107,336.0,115993882.0,16.613852644828516,373068185.0,380049942.0
108,339.0,115993764.0,14.47737414241909,380244970.0,388257042.0
109,343.0,116002614.0,31.911062022978196,388447745.0,392082930.0
110,353.0,116001552.0,11.989617543552479,392094155.0,401769322.0
111,355.0,115999664.0,13.624244366094372,401781688.0,410295897.0
112,356.0,116011110.0,17.495015529109445,410310044.0,416941139.0
113,362.0,115995652.0,20.139259868346805,416956590.0,422716268.0
114,365.0,115992820.0,14.177455033295859,422727160.0,430908658.0
115,366.0,115995180.0,48.67848371972786,430954947.0,433337831.0
116,370.0,116003322.0,79.13005948909367,433722860.0,435188843.0
117,372.0,115994944.0,68.3017064983074,436333198.0,438031471.0
