microseconds_start,duration,job_id,RdMBPS,WtMBPS,Input File Size (Input Level),Input File Size (Output Level),Output File Size (MB),output_level
145908132,676679,265,298.3,294.8,64.8,127.7,190.3,2
146609114,672014,267,303.2,300.8,64.8,129.5,192.8,2
148146950,1511693,269,264.6,260.9,64.8,316.7,376.2,2
149612302,1422316,271,283.5,279.9,64.8,319.8,379.7,2
151017845,1364734,273,296.6,294.4,64.8,321.2,383.2,2
154074405,3013442,275,270.7,268.6,376.6,401.3,771.8,1
154788507,683739,295,297.9,294.6,64.8,129.5,192.1,2
155549411,725777,296,268.7,265.3,56.5,129.5,183.6,2
156527570,949109,298,285.8,283.2,64.7,194.0,256.3,2
156987157,444038,300,289.0,287.1,26.7,95.7,121.6,2
158245376,1230276,301,271.9,268.1,64.8,254.2,314.5,2
159482755,1199047,303,281.8,279.8,64.8,257.5,320.0,2
162218581,2696852,305,272.4,270.3,376.6,323.8,695.1,1
163083707,794683,316,256.4,253.1,64.8,129.5,191.8,2
164041205,927663,318,286.7,283.2,64.8,188.9,250.6,2
165005876,949775,320,286.0,284.5,64.7,194.3,257.7,2
166199463,1159625,321,285.1,282.3,64.8,250.5,312.2,2
167472963,1235690,323,269.0,265.9,64.7,252.3,313.4,2
170396020,2880478,325,252.7,250.9,322.8,371.2,689.2,1
170899387,440074,334,308.5,305.3,64.7,64.7,128.2,2
171736879,812564,335,291.6,289.2,64.7,161.2,224.1,2
172617506,849333,337,304.5,299.4,64.8,181.9,242.5,2
173548834,915731,339,296.6,293.4,64.7,194.3,256.2,2
174205052,623178,340,260.4,257.7,33.1,121.6,153.2,2
175429316,1187598,342,282.5,279.7,64.7,255.2,316.8,2
178158837,2690336,344,303.5,293.7,64.8,64.8,125.4,1
177159459,447618,350,276.3,274.1,376.7,332.3,703.4,3
179217707,981155,352,274.2,270.4,64.8,191.8,253.0,2
180148417,899188,354,300.5,297.5,64.7,193.0,255.1,2
181149372,986245,356,275.4,272.4,64.7,194.3,256.2,2
182304885,1120597,357,286.2,284.5,64.8,241.1,304.0,2
183539202,1197282,359,278.3,274.9,64.7,253.0,313.9,2
187263099,3683274,361,93.9,91.7,64.8,64.8,126.5,1
186790564,1446129,364,93.9,92.1,64.7,64.8,127.1,3
186798246,1446047,365,93.9,90.9,64.8,64.8,125.4,3
186798324,1446044,366,93.9,91.9,64.8,64.8,126.8,3
186798592,1445990,367,93.9,91.7,64.8,64.8,126.4,3
186798505,1445929,368,200.0,198.6,322.8,379.6,697.6,3
187992803,623485,370,303.2,299.1,50.7,129.6,177.9,2
188900033,880186,372,300.2,295.3,64.8,187.2,247.9,2
190083611,1151440,374,276.9,274.5,64.8,239.3,301.5,2
191266533,1146355,375,285.5,282.4,64.7,247.4,308.7,2
192433183,1129048,377,290.9,287.4,64.7,248.5,309.5,2
196031557,3560565,379,131.6,127.5,64.8,64.8,125.5,1
193923733,1032324,381,131.5,129.3,64.7,64.8,127.3,3
193931328,1032298,382,143.9,140.5,129.5,64.8,189.7,3
194316104,1416123,383,225.1,223.4,376.7,387.8,758.5,3
196857095,723753,386,267.1,263.9,64.8,119.6,182.1,2
197593520,709125,388,287.3,285.1,64.8,129.5,192.8,2
198601275,992120,390,273.8,271.8,64.8,194.3,257.2,2
199721143,1085472,391,302.1,297.8,64.8,248.0,308.2,2
200861170,1103011,393,304.1,300.8,64.8,255.1,316.4,2
204850840,3950946,395,95.1,92.3,64.8,64.8,125.8,1
202948480,1428542,397,95.1,94.2,64.8,64.8,128.4,3
203027287,1428523,398,95.1,93.3,64.8,64.8,127.1,3
203027373,1428525,399,95.1,94.1,64.8,64.8,128.2,3
203027401,1428607,400,95.1,92.3,64.8,64.8,125.8,3
203027468,1428382,401,215.3,213.6,376.7,434.6,804.8,3
205911250,945220,404,284.2,281.2,64.7,191.5,253.5,2
206908505,951132,406,279.5,275.2,64.8,188.8,249.7,2
207858710,916571,408,294.7,292.2,64.8,192.8,255.4,2
208858884,983982,410,280.2,277.6,64.8,198.2,260.5,2
210011787,1118350,411,288.2,285.7,64.8,242.6,304.8,2
212987541,2142644,413,151.5,150.0,64.8,244.7,306.6,2
213003218,2406290,415,187.6,186.2,0.0,430.5,427.3,0
213444388,2842962,416,116.0,114.4,64.8,249.7,310.3,2
213531399,2944440,417,126.2,124.6,64.7,289.6,349.9,2
213867060,3279477,418,144.3,143.5,64.8,386.7,448.8,2
216881118,2867859,421,276.7,275.2,534.9,222.0,752.5,1
217168964,214795,425,184.2,180.2,14.1,23.6,36.9,2
217818427,631377,426,302.5,300.4,64.8,117.4,180.9,2
218805371,958781,427,268.5,264.3,64.7,180.7,241.7,2
219914794,1076175,429,300.3,295.5,64.8,243.5,303.3,2
220438013,484847,431,298.7,295.9,26.0,112.1,136.8,2
221670628,1205338,432,304.4,301.0,64.7,285.1,346.0,2
222955017,1244847,434,297.6,293.6,64.7,288.5,348.6,2
228585011,5589021,436,54.6,53.7,64.8,64.8,127.5,1
225880445,2496292,438,54.6,52.6,64.8,64.8,125.0,3
225880271,2490088,439,54.6,52.6,64.8,64.8,125.0,3
225880548,2496148,440,54.6,52.8,64.8,64.8,125.4,3
225880575,2489816,441,54.6,52.5,64.8,64.8,124.7,3
225880377,2489891,442,52.8,51.5,64.8,60.9,122.6,3
225845384,2489652,443,54.4,52.5,64.8,64.8,125.0,3
225933139,2515934,444,57.0,55.3,72.0,64.8,132.6,3
225880411,2489618,445,60.4,59.4,64.8,82.2,144.7,3
226337610,2552607,446,65.9,64.4,64.8,98.4,159.4,3
226424991,2596457,447,62.8,60.8,64.8,115.7,174.7,3
226439577,3012651,448,144.1,140.4,64.8,117.3,177.5,3
227192994,1325028,449,152.7,148.2,64.8,123.1,182.3,3
227200306,1289892,450,154.0,150.0,64.8,124.7,184.6,3
227200375,1289741,451,143.6,142.4,376.7,388.7,759.2,3
229089587,288921,455,301.8,298.2,35.6,47.5,82.2,2
230065453,935822,456,285.1,282.3,64.8,189.7,251.9,2
230992414,891305,458,304.7,301.0,64.8,194.3,255.9,2
231979851,954062,459,272.9,270.3,54.0,194.3,245.9,2
233213474,1200525,461,271.1,268.6,64.8,245.7,307.5,2
235977522,2720376,463,122.1,121.0,64.8,251.9,313.8,2
235984960,2164606,465,208.5,207.0,0.0,430.5,427.3,0
236820432,3000222,466,113.2,112.1,64.8,259.1,320.6,2
236812936,3000088,467,112.1,111.0,64.8,255.9,317.6,2
236820512,3000073,468,113.2,112.1,64.8,259.1,320.8,2
239767091,2812812,471,280.0,278.4,534.9,216.3,746.8,1
240332001,500022,474,260.6,258.5,34.7,89.5,123.3,2
241442966,1086388,476,271.5,268.4,64.7,216.5,278.1,2
242580380,1088871,478,292.0,289.2,64.7,238.5,300.3,2
243803793,1173700,480,280.3,276.6,64.8,249.0,309.6,2
245009444,1154426,482,282.5,278.8,64.8,246.3,307.0,2
246242150,1181694,484,284.7,281.9,64.8,256.0,317.7,2
248275292,2016131,486,223.9,222.2,0.0,430.5,427.3,0
249563074,3312237,487,118.9,117.4,64.8,310.7,370.7,2
249952561,3703186,488,134.1,132.8,64.8,408.7,469.0,2
250083867,3833747,489,140.0,138.9,64.8,447.2,508.0,2
253106482,2855967,493,267.6,266.1,534.9,194.0,724.8,1
254313597,1141148,496,297.6,293.9,64.8,259.0,319.9,2
255517236,1164161,498,291.6,288.1,64.7,259.0,319.9,2
256743184,1187473,500,286.0,282.3,64.7,259.1,319.7,2
257953473,1171161,502,286.2,282.5,64.7,254.9,315.5,2
261177534,2175644,504,112.8,109.4,64.8,62.4,123.3,2
261185280,2185949,506,176.0,173.9,64.7,300.4,360.8,0
262917723,3805120,507,206.5,205.0,0.0,430.5,427.3,2
262925737,3925527,508,99.8,96.9,64.8,64.8,125.7,2
261159910,1181613,509,99.8,96.3,64.8,64.8,125.0,3
263383048,4382603,510,99.8,96.9,64.8,64.8,125.8,2
