,workload,iodepth,numjobs,ioengine,bs,media,MBPS,diskutil
501,randwrite,16,4,psync,16,nvme,1775.0,90.01
502,write,1,1,psync,64,ssd,122.0,23.14
503,randwrite,1,16,psync,16,ssd,201.0,76.93
504,randwrite,64,16,psync,64,ssd,198.0,69.78
505,randwrite,64,16,psync,16,ssd,186.0,78.31
506,randwrite,32,1,psync,64,ssd,138.0,57.96
507,randwrite,1,16,psync,4,nvme,1760.0,90.5
508,write,64,4,libaio,16,ssd,1016.0,66.5
509,randwrite,64,16,psync,4,ssd,195.0,76.52
510,write,1,4,psync,64,nvme,4551.0,58.94
511,write,1,1,libaio,16,nvme,1824.0,73.8
512,write,16,4,psync,64,hdd,1064.0,70.61
513,randwrite,16,1,psync,64,nvme,1857.0,75.39
514,write,256,4,psync,64,hdd,1063.0,70.43
515,randwrite,32,4,psync,4,hdd,123.0,90.4
516,randwrite,64,4,psync,4,ssd,190.0,79.14
517,randwrite,32,4,psync,4,ssd,180.0,78.73
518,randwrite,64,1,libaio,64,nvme,1824.0,73.78
519,write,1,4,libaio,4,hdd,1057.0,68.17
520,write,64,16,libaio,16,hdd,3695.0,57.6
521,randwrite,16,1,psync,16,nvme,1746.0,71.44
522,randwrite,32,16,psync,16,hdd,63.3,30.54
523,write,16,4,psync,4,ssd,706.0,42.52
524,randwrite,16,4,psync,16,hdd,121.0,78.57
525,randwrite,16,1,libaio,64,hdd,99.1,44.79
526,write,1,1,libaio,4,hdd,285.0,64.66
527,write,64,1,psync,64,hdd,289.0,66.27
528,write,256,16,libaio,64,hdd,3723.0,57.71
529,randwrite,1,1,psync,64,hdd,63.9,32.01
530,randwrite,64,4,libaio,64,hdd,105.0,62.51
531,randwrite,1,16,libaio,16,nvme,1853.0,92.53
532,write,256,16,libaio,16,ssd,2530.0,37.51
533,randwrite,32,1,psync,4,hdd,152.0,94.11
534,randwrite,32,1,libaio,16,hdd,106.0,73.4
535,write,1,1,libaio,16,ssd,142.0,25.95
536,randwrite,32,4,libaio,16,hdd,113.0,73.09
537,randwrite,64,16,libaio,4,ssd,183.0,76.96
538,write,256,4,libaio,64,ssd,669.0,44.66
539,randwrite,32,1,libaio,4,ssd,131.0,67.17
