,workload,iodepth,numjobs,ioengine,bs,media,MBPS,diskutil
100,randwrite,16,16,psync,16,nvme,1847.0,92.95
101,write,32,4,libaio,64,ssd,654.0,46.93
102,randwrite,256,16,psync,4,ssd,184.0,76.88
103,randwrite,64,16,libaio,4,nvme,1743.0,91.53
104,randwrite,32,16,libaio,64,ssd,199.0,70.88
105,write,16,16,psync,64,ssd,2697.0,41.26
106,write,32,16,psync,64,ssd,2432.0,38.95
107,randwrite,256,1,psync,4,ssd,135.0,69.46
108,randwrite,64,16,psync,16,nvme,1795.0,92.9
109,write,32,16,libaio,4,nvme,3453.0,13.48
110,write,64,1,libaio,4,hdd,280.0,63.25
111,write,32,16,psync,4,hdd,3630.0,56.08
112,write,64,16,psync,64,hdd,3766.0,59.35
113,randwrite,1,1,libaio,64,hdd,83.8,47.3
114,write,64,1,libaio,64,ssd,110.0,21.32
115,randwrite,32,1,libaio,64,ssd,129.0,49.11
116,randwrite,32,4,libaio,16,ssd,197.0,78.95
117,write,1,4,libaio,4,nvme,3741.0,50.08
118,write,16,16,libaio,4,nvme,3459.0,15.17
119,randwrite,256,16,libaio,64,ssd,202.0,71.96
120,randwrite,16,4,psync,4,nvme,1728.0,89.38
121,randwrite,1,16,psync,16,hdd,105.0,71.19
122,write,64,1,psync,16,ssd,129.0,23.32
123,randwrite,32,16,libaio,64,nvme,1801.0,92.96
124,randwrite,64,16,libaio,16,hdd,117.0,68.97
125,randwrite,256,1,libaio,4,nvme,1293.0,66.41
126,randwrite,16,1,libaio,64,nvme,1836.0,74.28
127,randwrite,16,1,libaio,16,hdd,108.0,74.58
128,write,1,4,psync,16,hdd,1066.0,69.46
129,write,256,1,psync,64,ssd,131.0,24.91
130,randwrite,256,4,libaio,4,ssd,185.0,78.99
131,write,1,1,libaio,16,hdd,288.0,65.53
132,randwrite,32,4,psync,64,ssd,190.0,72.34
133,write,16,4,libaio,16,hdd,1063.0,70.17
134,write,1,1,psync,64,hdd,285.0,65.73
135,write,256,4,libaio,16,hdd,1057.0,69.56
136,randwrite,256,16,libaio,4,ssd,190.0,78.87
137,randwrite,16,16,libaio,16,nvme,1850.0,93.09
138,randwrite,32,4,psync,4,nvme,1765.0,89.41
139,write,256,1,libaio,4,ssd,122.0,21.54
140,write,1,16,libaio,4,ssd,2199.0,32.68
141,write,16,1,libaio,16,hdd,288.0,66.02
142,randwrite,256,16,libaio,4,hdd,77.4,54.77
143,write,1,4,libaio,16,ssd,647.0,44.7
144,write,1,16,psync,4,nvme,3760.0,13.44
145,write,32,1,libaio,16,nvme,1781.0,74.25
146,randwrite,256,4,libaio,64,hdd,102.0,54.27
147,randwrite,1,4,libaio,16,hdd,114.0,68.91
148,write,256,16,psync,16,ssd,2415.0,37.12
149,write,256,16,psync,4,nvme,3767.0,13.36
150,randwrite,256,1,psync,16,hdd,70.6,41.82
151,write,64,4,libaio,4,nvme,3465.0,47.47
152,write,1,16,libaio,16,nvme,4706.0,17.61
153,write,64,4,libaio,16,nvme,4061.0,53.29
154,randwrite,32,16,libaio,16,ssd,211.0,81.46
155,write,32,1,psync,4,hdd,288.0,65.87
156,write,256,4,psync,4,ssd,630.0,46.89
157,randwrite,32,4,libaio,16,nvme,1781.0,89.88
158,write,1,4,libaio,64,ssd,661.0,43.99
159,write,16,1,psync,16,ssd,116.0,19.96
160,randwrite,256,4,libaio,64,ssd,186.0,73.52
161,write,16,4,libaio,4,nvme,3485.0,48.22
162,write,32,1,psync,64,ssd,108.0,19.59
163,write,16,4,psync,4,hdd,1050.0,65.62
164,randwrite,16,1,libaio,64,ssd,142.0,55.96
165,randwrite,1,4,libaio,16,nvme,1721.0,90.43
166,randwrite,256,1,psync,4,hdd,149.0,90.88
167,randwrite,16,1,libaio,16,ssd,134.0,68.2
168,randwrite,16,16,psync,64,ssd,188.0,68.2
169,write,256,4,psync,4,nvme,3735.0,49.63
170,write,16,16,psync,64,nvme,4978.0,22.48
171,randwrite,16,4,libaio,64,hdd,80.6,43.79
172,write,32,1,libaio,64,nvme,1893.0,75.04
173,write,32,1,psync,4,nvme,1766.0,71.9
174,write,256,1,psync,4,nvme,1769.0,71.64
175,write,64,16,psync,4,ssd,2415.0,36.61
176,randwrite,16,4,libaio,16,hdd,79.9,46.62
177,randwrite,1,16,libaio,4,ssd,189.0,77.36
178,randwrite,64,1,libaio,16,ssd,124.0,56.69
179,write,64,16,libaio,64,ssd,2628.0,43.79
180,write,16,4,psync,4,nvme,3752.0,50.5
181,randwrite,64,1,libaio,4,nvme,1304.0,67.38
182,randwrite,256,16,psync,4,nvme,1794.0,91.86
183,randwrite,1,1,psync,64,ssd,124.0,50.53
184,write,16,16,psync,4,ssd,2503.0,39.83
185,write,64,1,psync,64,nvme,1904.0,75.02
186,randwrite,1,1,psync,4,ssd,130.0,66.11
187,randwrite,32,1,psync,64,hdd,97.6,44.43
188,write,1,4,psync,64,ssd,666.0,45.12
189,randwrite,16,16,libaio,16,hdd,94.1,56.37
190,write,256,1,libaio,64,nvme,1823.0,73.16
191,randwrite,32,1,libaio,4,nvme,1319.0,67.48
192,write,32,4,psync,4,hdd,1063.0,68.39
193,randwrite,16,4,libaio,4,nvme,1766.0,89.36
